sp,site,strata,SLA_LEAF,SLA_DISC,LIFETIME,Amass,Rmass,Amax,N_PCT,P_PCT,LT,LAMTUF,MDRBTUF,VEINTUF,LMA_LEAF,LMA,LL,Aarea,Aarea_DISC,Rarea,Rarea_DISC,sp_site_strata,Narea,Parea,LD,SampleID,Run,BagNo,%NPE,%WS,%AS,Lig,%Ash,%NDF,ADF,site2,cell_mass,cell_area,cell_vol,site_strata,LMAp,LMAs,LMAp_lo,LMAp_up,LMAs_lo,LMAs_up,Mu2,Mu2_lo,Mu2_up
ADE1,PNSL,CAN,125.9939975,136.6989522,126,72.91902607,17.57616265,5.7875,1.548,0.08623,0.32,0.2364,1.6612,1.1728,79.36886040940165,73.15345025738975,4.142465753424657,5.7875000013393505,5.334278346429051,1.394999999900789,1.2857569401325666,ADE1_WET_CAN,0.12286299591375376,0.0068439768331027,0.22860453205434297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WET,NA,NA,NA,WET_CAN,29.32428319574932,43.82916706164043,9.473423015747153,65.14375279900642,8.009697458383329,63.6800272416426,2.160461413,1.58305125,2.39999075
ALBG,PNM,CAN,108.8820038,115.5234445,183,136.9191198,12.79363545,12.575,3.027,0.1013,0.19,0.3901,4.1777,4.5685,91.84254193529088,86.5625158882793,6.016438356164383,12.575000001974615,11.852063483096716,1.175000000321449,1.1074492719094784,ALBG_DRY_CAN,0.27800737443812545,0.00930364949804496,0.4555921888856805,NA,1,1,61.76,15.52,10.35,12.37,0,38.24,22.72,DRY,10.35,8.959220394436906,0.04715379154966792,DRY_CAN,56.94768472948364,29.614831158795653,28.911750462911453,80.95630103896357,5.60621484931572,57.65076542536784,2.018130929,1.4838082500000003,2.323778
AMPP,PNM,CAN,134.4509334,148.1443752,122,72.56989128,9.290559495,5.3975,2.517,0.1713,0.22,0.1827,0.7643,1.2721,74.37657550691277,67.50171909328084,4.010958904109589,5.397499998315371,4.89859241581249,0.6909999997813329,0.6271287372509031,AMPP_DRY_CAN,0.18720584055089945,0.01274070738433415,0.3068259958785493,NA,1,2,61.65,12.77,13,12.55,0.03,38.35,25.58,DRY,13.029999999999998,8.795473997854492,0.03997942726297496,DRY_CAN,21.17192922370906,46.32978986957178,7.309175583198249,48.06941195294197,19.43230714033887,60.192543510082594,2.206608169875,1.90289,2.3895227500000003
AMPP,PNM,UNDER,535.2625392,563.3448773,153,171.6408542,8.055701215,3.206666667,3.049,0.21612,NA,NA,NA,NA,18.68242080782626,17.751115529669875,5.03013698630137,3.2066666659791534,3.046816632515423,0.15050000000074729,0.14299768293996695,AMPP_DRY_UNDER,0.05696270104306227,0.00403764478498741,NA,NA,1,3,58.61,13.43,15.01,12.7,0.26,41.39,27.97,DRY,15.27,2.71059534138059,NA,DRY_UNDER,6.530952965497038,11.220162564172837,1.9293434515801888,14.340507166266182,3.4106083634036928,15.821772078089685,2.5117349875,2.09065225,2.7712205
ANAE,PNM,CAN,80.22122541,90.27216473,280,50.8923454,13.878272,6.344,1.271,0.14119,0.23,1.3451,5.8012,8.9376,124.65528853356868,110.77611830744894,9.205479452054794,6.3439999999870365,5.637656474973955,1.730000000507347,1.537381100974956,ANAE_DRY_CAN,0.15843687172616577,0.01760008018805456,0.4816352969889084,NA,1,4,59.85,5.89,16.32,16.02,1.92,40.15,34.26,DRY,18.24,20.205563979278683,0.08785027817077687,DRY_CAN,32.78244251814787,77.99367578930108,10.826624717853932,80.38115926102924,30.3949590464197,99.94949358959501,2.3900176175,2.08259725,2.6192512500000005
ANAE,PNM,UNDER,189.8346477,328.5332145,243,68.56194692,2.951928771,3.611666667,1.534,0.16084,0.16,0.6281,3.377,4.6209,52.67742280536284,30.4383226981149,7.989041095890411,3.611666666263684,2.086910665161985,0.1554999999612821,0.08985176051354772,ANAE_DRY_UNDER,0.0808071665834266,0.00847263668401456,0.1902395168632181,NA,1,5,60.41,9.02,14.28,13.95,2.34,39.59,30.57,DRY,16.62,5.058849232426697,0.03161780770266685,DRY_UNDER,7.4226065082530654,23.015716189861834,2.25143948116698,16.242873671453385,14.195449026661514,28.18688321694792,2.7820272925,2.54252975,3.000011
ANES,PNSL,CAN,109.5409421,120.3109335,280.5,139.2265374,5.630404424,12.71,2.071,0.1431,0.21,0.5617000000000001,3.6872,4.495100000000001,91.29006751531308,83.11796533438086,9.221917808219178,12.709999999169264,11.57222650923908,0.5140000000054774,0.4679877597325766,ANES_WET_CAN,0.1890617298242134,0.0130636086614413,0.3957998349256231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WET,NA,NA,NA,WET_CAN,45.42628904234211,37.69167629203874,21.209433554931234,73.92563369978338,9.19233163459748,61.90853177944962,2.130670525,1.71976675,2.3932714999999996
ANNS,PNM,CAN,141.4510298,167.8622607,216,199.4459521,5.021511559,14.1,2.283,0.17161,NA,NA,NA,NA,70.6958444497659,59.57265175804939,7.101369863013699,14.10000000579706,11.8815242490059,0.3550000000777655,0.2991447594033267,ANNS_DRY_CAN,0.16139861287881554,0.01213211386602432,NA,NA,1,6,58.42,15.8,15.57,9.89,0.32,41.58,25.79,DRY,15.9,9.472051629529853,NA,DRY_CAN,40.14547730248101,19.427174455568377,19.29900882122458,56.93956884735319,2.6330829106961957,40.273642936824814,1.868228754625,1.2815774999999998,2.224154
ANNS,PNM,UNDER,397.7819408,456.4214559,168.5,207.8410641,10.97878157,5.225,2.593,0.15929,0.21125,0.5454,4.182925,3.03285,25.13940170307501,21.909574737851408,5.53972602739726,5.225000000804462,4.553709327493515,0.27600000009854647,0.24054043533846065,ANNS_DRY_UNDER,0.06518646861607348,0.00400445529728281,0.10371396325610134,NA,1,7,70.44,10.28,11.04,8.1,0.15,29.56,19.28,DRY,11.18,2.449490455691788,0.01159522109203213,DRY_UNDER,13.581349170530965,8.328225567320443,5.205132163025468,20.973082830044056,0.9364919078073513,16.70444257482594,2.3607338515,1.6678112499999997,2.72644675
ANOR,PNSL,CAN,115.3770233,115.8018854,268,119.8767272,12.09728089,10.39,1.398,0.08659,0.26,0.6628,4.42,7.2265,86.67236954101588,86.35437985710033,8.810958904109588,10.389999999245951,10.351880436654792,1.0484999997395497,1.0446531892131006,ANOR_WET_CAN,0.1211679726183402,0.00750496047855656,0.33213223021961663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WET,NA,NA,NA,WET_CAN,44.65314900866027,41.701230848440055,21.1819500306685,75.07170086196196,11.282678995138369,65.17242982643182,2.1645383325,1.770493,2.403724
ANTT,PNM,CAN,147.1279109,145.6775126,180,138.9623118,22.06918664,9.445,2.014,0.14252,NA,NA,NA,NA,67.96806900083565,68.64477448525572,5.917808219178082,9.44499999693804,9.539036555460791,1.5000000003398404,1.5149343399758186,ANTT_DRY_CAN,0.136887690967683,0.00968680919399909,NA,NA,1,8,56.68,8.89,14.11,20.33,0,43.32,34.44,DRY,14.11,9.685777679869584,NA,DRY_CAN,42.222004611231945,26.42276987402378,19.542362435971466,64.18784432210299,4.456930163152734,49.102412049284254,1.97546286925,1.4308669999999999,2.27093125
APEM,PNSL,CAN,100.3403481,103.5598562,220,200.6806963,6.86829683,20,1.978,0.11044,0.2325,1.052825,2.708475,3.2975,99.66080633917991,96.56251338054678,7.232876712328767,20.00000000996608,19.378232421686192,0.6845000002546333,0.663220004548442,APEM_WET_CAN,0.19712907493889784,0.01100653945209903,0.4153226381959001,NA,1,9,48.54,19.78,15.59,16.05,0.04,51.46,31.69,WET,15.64,15.102377092717516,0.06495646061383877,WET_CAN,71.74990005924708,24.812613321299693,40.00171641798784,93.08653327388456,3.4759801066622202,56.56079696255893,1.948803920625,1.3844705,2.3414409999999997
ARIC,PNM,CAN,127.1428571,113.2548111,173,154.4785714,15.21437662,12.15,2.624,0.14685,0.29,0.4461,1.8813,3.3323,78.65168541977023,88.29646972939942,5.6876712328767125,12.150000001848314,13.639912503460966,1.196636363774147,1.3433757446795125,ARIC_DRY_CAN,0.20638202254147708,0.01155000000389326,0.3044705852737911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DRY,NA,NA,NA,DRY_CAN,57.09220582727191,31.204263902127508,28.647548995823634,83.51107920394561,4.785390525453806,59.648920733575785,2.030572303125,1.4529014999999998,2.34479975
ARRP,PNM,CAN,124.4482899,132.9092239,153,136.0219809,11.92836859,10.93,2.531,0.11156,0.21,0.2868,2.8084,2.8234,80.35465981923468,75.23932279917557,5.03013698630137,10.930000003157936,10.234201728718393,0.958500000247894,0.8974823748105567,ARRP_DRY_CAN,0.20337764400248295,0.00896436584943382,0.3582824895198837,NA,1,11,68.5,11.66,9.35,10.25,0.24,31.5,19.84,DRY,9.59,7.215451056440937,0.03435929074495684,DRY_CAN,48.084920528604485,27.154402270571083,23.523284601769465,70.97911433970837,4.260208459467194,51.71603819740611,1.981624505875,1.4157075000000001,2.2919655
ARRV,PNSL,CAN,117.5579211,135.911336,225,117.0289105,2.33940263,9.955,2.069,0.08438,0.15,0.4699,3.22685,4.8862749999999995,85.06445083775814,73.5773798883119,7.397260273972603,9.955000003823647,8.610680605773751,0.1990000000093571,0.17212711601922595,ARRV_WET_CAN,0.1759983487833216,0.00717773836169003,0.49051586592207935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WET,NA,NA,NA,WET_CAN,29.48159191077336,44.095787977538535,9.72483082647352,62.369256674807446,11.20812321350445,63.852549061838374,2.1870990115,1.7567707500000003,2.4301017499999995
ASPC,PNSL,CAN,63.88633754,72.58641712,337,82.09394374,6.318358783,12.85,1.5675,0.07182,0.36625,0.6996,3.664275,NA,156.52798994368524,137.76682190371764,11.07945205479452,12.850000000172182,11.309821726602395,0.9890000000460192,0.8704602091813511,ASPC_WET_CAN,0.2453576242367266,0.01124184023775547,0.37615514512960446,NA,1,13,62.45,10.34,12.5,14.72,0,37.55,27.21,WET,12.49,17.207076055774333,0.04698177762668759,WET_CAN,62.076269747215214,75.69055215650243,28.875292143638458,112.12243726736517,25.64438463635247,108.89152976007918,2.379448385,2.0316419999999997,2.639504
ASPC,PNSL,UNDER,136.8954496,176.6541353,1342,52.65911627,1.635216145,3.846666667,1.289,0.07364,0.188333,0.5346000000000001,4.403833333,6.47135,73.0484470391045,56.60778890354117,44.12054794520548,3.846666665975141,2.98091613765919,0.11944999996552114,0.09256597034782237,ASPC_WET_UNDER,0.0941594482334057,0.00537928763995965,0.30057286244864767,NA,1,24,54.55,5.48,20.49,19.48,0,45.45,39.97,WET,20.49,11.598935946335583,0.06158737951572791,WET_UNDER,6.400923504166619,50.20686539937455,2.0510319466039695,14.809627838924406,41.798161064616764,54.5567569569372,3.06328572375,2.7485437499999996,3.36416125
